"NomeCidade","CodEstadoIBGE","NomeEstado","Regiao","ID_Regiao"
"Alta Floresta D'Oeste",11,"Rondónia","Norte",1
"Ariquemes",11,"Rondónia","Norte",1
"Cabixi",11,"Rondónia","Norte",1
"Cacoal",11,"Rondónia","Norte",1
"Cerejeiras",11,"Rondónia","Norte",1
"Colorado do Oeste",11,"Rondónia","Norte",1
"Corumbiara",11,"Rondónia","Norte",1
"Costa Marques",11,"Rondónia","Norte",1
"Espigão D'Oeste",11,"Rondónia","Norte",1
"Guajará-Mirim",11,"Rondónia","Norte",1
"Jaru",11,"Rondónia","Norte",1
"Ji-Paraná",11,"Rondónia","Norte",1
"Machadinho D'Oeste",11,"Rondónia","Norte",1
"Nova Brasilândia D'Oeste",11,"Rondónia","Norte",1
"Ouro Preto do Oeste",11,"Rondónia","Norte",1
"Pimenta Bueno",11,"Rondónia","Norte",1
"Porto Velho",11,"Rondónia","Norte",1
"Presidente Médici",11,"Rondónia","Norte",1
"Rio Crespo",11,"Rondónia","Norte",1
"Rolim de Moura",11,"Rondónia","Norte",1
"Santa Luzia D'Oeste",11,"Rondónia","Norte",1
"Vilhena",11,"Rondónia","Norte",1
"São Miguel do Guaporé",11,"Rondónia","Norte",1
"Nova Mamoré",11,"Rondónia","Norte",1
"Alvorada D'Oeste",11,"Rondónia","Norte",1
"Alto Alegre dos Parecis",11,"Rondónia","Norte",1
"Alto Paraíso",11,"Rondónia","Norte",1
"Buritis",11,"Rondónia","Norte",1
"Novo Horizonte do Oeste",11,"Rondónia","Norte",1
"Cacaulândia",11,"Rondónia","Norte",1
"Campo Novo de Rondônia",11,"Rondónia","Norte",1
"Candeias do Jamari",11,"Rondónia","Norte",1
"Castanheiras",11,"Rondónia","Norte",1
"Chupinguaia",11,"Rondónia","Norte",1
"Cujubim",11,"Rondónia","Norte",1
"Governador Jorge Teixeira",11,"Rondónia","Norte",1
"Itapuã do Oeste",11,"Rondónia","Norte",1
"Ministro Andreazza",11,"Rondónia","Norte",1
"Mirante da Serra",11,"Rondónia","Norte",1
"Monte Negro",11,"Rondónia","Norte",1
"Nova União",11,"Rondónia","Norte",1
"Parecis",11,"Rondónia","Norte",1
"Pimenteiras do Oeste",11,"Rondónia","Norte",1
"Primavera de Rondônia",11,"Rondónia","Norte",1
"São Felipe D'Oeste",11,"Rondónia","Norte",1
"São Francisco do Guaporé",11,"Rondónia","Norte",1
"Seringueiras",11,"Rondónia","Norte",1
"Teixeirópolis",11,"Rondónia","Norte",1
"Theobroma",11,"Rondónia","Norte",1
"Urupá",11,"Rondónia","Norte",1
"Vale do Anari",11,"Rondónia","Norte",1
"Vale do Paraíso",11,"Rondónia","Norte",1
"Acrelândia",12,"Acre","Norte",1
"Assis Brasil",12,"Acre","Norte",1
"Brasiléia",12,"Acre","Norte",1
"Bujari",12,"Acre","Norte",1
"Capixaba",12,"Acre","Norte",1
"Cruzeiro do Sul",12,"Acre","Norte",1
"Epitaciolândia",12,"Acre","Norte",1
"Feijó",12,"Acre","Norte",1
"Jordão",12,"Acre","Norte",1
"Mâncio Lima",12,"Acre","Norte",1
"Manoel Urbano",12,"Acre","Norte",1
"Marechal Thaumaturgo",12,"Acre","Norte",1
"Plácido de Castro",12,"Acre","Norte",1
"Porto Walter",12,"Acre","Norte",1
"Rio Branco",12,"Acre","Norte",1
"Rodrigues Alves",12,"Acre","Norte",1
"Santa Rosa do Purus",12,"Acre","Norte",1
"Senador Guiomard",12,"Acre","Norte",1
"Sena Madureira",12,"Acre","Norte",1
"Tarauacá",12,"Acre","Norte",1
"Xapuri",12,"Acre","Norte",1
"Porto Acre",12,"Acre","Norte",1
"Alvarães",13,"Amazonas","Norte",1
"Amaturá",13,"Amazonas","Norte",1
"Anamã",13,"Amazonas","Norte",1
"Anori",13,"Amazonas","Norte",1
"Apuí",13,"Amazonas","Norte",1
"Atalaia do Norte",13,"Amazonas","Norte",1
"Autazes",13,"Amazonas","Norte",1
"Barcelos",13,"Amazonas","Norte",1
